example_vamb_bin_24	example_contig_44862
example_vamb_bin_25	example_contig_62995
example_vamb_bin_47	example_contig_26849
example_vamb_bin_62	example_contig_15287
example_vamb_bin_67	example_contig_20081
example_vamb_bin_86	example_contig_38075
example_vamb_bin_86	example_contig_73103
example_vamb_bin_86	example_contig_71989
example_vamb_bin_86	example_contig_4422
example_vamb_bin_86	example_contig_75340
example_vamb_bin_86	example_contig_32922
example_vamb_bin_86	example_contig_32266
example_vamb_bin_86	example_contig_39621
example_vamb_bin_86	example_contig_76735
example_vamb_bin_86	example_contig_26688
example_vamb_bin_86	example_contig_22970
example_vamb_bin_95	example_contig_53967
example_vamb_bin_95	example_contig_12140
example_vamb_bin_96	example_contig_53889
example_vamb_bin_96	example_contig_25324
example_vamb_bin_104	example_contig_59979
example_vamb_bin_131	example_contig_61977
example_vamb_bin_131	example_contig_16241
example_vamb_bin_131	example_contig_11944
example_vamb_bin_131	example_contig_47479
example_vamb_bin_131	example_contig_57023
example_vamb_bin_131	example_contig_47931
example_vamb_bin_131	example_contig_19111
example_vamb_bin_131	example_contig_15224
example_vamb_bin_131	example_contig_17394
example_vamb_bin_131	example_contig_75920
example_vamb_bin_131	example_contig_49353
example_vamb_bin_131	example_contig_39032
example_vamb_bin_131	example_contig_58800
example_vamb_bin_131	example_contig_25450
example_vamb_bin_131	example_contig_62618
example_vamb_bin_131	example_contig_47666
example_vamb_bin_131	example_contig_72675
example_vamb_bin_131	example_contig_73772
example_vamb_bin_131	example_contig_47876
example_vamb_bin_131	example_contig_53895
example_vamb_bin_131	example_contig_25505
example_vamb_bin_131	example_contig_249
example_vamb_bin_131	example_contig_40885
example_vamb_bin_131	example_contig_72264
example_vamb_bin_131	example_contig_77722
example_vamb_bin_131	example_contig_45488
example_vamb_bin_131	example_contig_4713
example_vamb_bin_131	example_contig_21511
example_vamb_bin_131	example_contig_35239
example_vamb_bin_131	example_contig_56606
example_vamb_bin_131	example_contig_15860
example_vamb_bin_131	example_contig_21304
example_vamb_bin_131	example_contig_42330
example_vamb_bin_131	example_contig_32289
example_vamb_bin_131	example_contig_14845
example_vamb_bin_131	example_contig_67040
example_vamb_bin_131	example_contig_60969
