marker	set
PF00380.20.hmm	gtdb_rel207_bac120
PF00410.20.hmm	gtdb_rel207_bac120
PF00466.21.hmm	gtdb_rel207_bac120
PF01025.20.hmm	gtdb_rel207_bac120
PF02576.18.hmm	gtdb_rel207_bac120
PF03726.15.hmm	gtdb_rel207_bac120
TIGR00006.HMM	gtdb_rel207_bac120
TIGR00019.HMM	gtdb_rel207_bac120
TIGR00020.HMM	gtdb_rel207_bac120
TIGR00029.HMM	gtdb_rel207_bac120
TIGR00043.HMM	gtdb_rel207_bac120
TIGR00054.HMM	gtdb_rel207_bac120
TIGR00059.HMM	gtdb_rel207_bac120
TIGR00061.HMM	gtdb_rel207_bac120
TIGR00064.HMM	gtdb_rel207_bac120
TIGR00065.HMM	gtdb_rel207_bac120
TIGR00082.HMM	gtdb_rel207_bac120
TIGR00083.HMM	gtdb_rel207_bac120
TIGR00084.HMM	gtdb_rel207_bac120
TIGR00086.HMM	gtdb_rel207_bac120
TIGR00088.HMM	gtdb_rel207_bac120
TIGR00090.HMM	gtdb_rel207_bac120
TIGR00092.HMM	gtdb_rel207_bac120
TIGR00095.HMM	gtdb_rel207_bac120
TIGR00115.HMM	gtdb_rel207_bac120
TIGR00116.HMM	gtdb_rel207_bac120
TIGR00138.HMM	gtdb_rel207_bac120
TIGR00158.HMM	gtdb_rel207_bac120
TIGR00166.HMM	gtdb_rel207_bac120
TIGR00168.HMM	gtdb_rel207_bac120
TIGR00186.HMM	gtdb_rel207_bac120
TIGR00194.HMM	gtdb_rel207_bac120
TIGR00250.HMM	gtdb_rel207_bac120
TIGR00337.HMM	gtdb_rel207_bac120
TIGR00344.HMM	gtdb_rel207_bac120
TIGR00362.HMM	gtdb_rel207_bac120
TIGR00382.HMM	gtdb_rel207_bac120
TIGR00392.HMM	gtdb_rel207_bac120
TIGR00396.HMM	gtdb_rel207_bac120
TIGR00398.HMM	gtdb_rel207_bac120
TIGR00414.HMM	gtdb_rel207_bac120
TIGR00416.HMM	gtdb_rel207_bac120
TIGR00420.HMM	gtdb_rel207_bac120
TIGR00431.HMM	gtdb_rel207_bac120
TIGR00435.HMM	gtdb_rel207_bac120
TIGR00436.HMM	gtdb_rel207_bac120
TIGR00442.HMM	gtdb_rel207_bac120
TIGR00445.HMM	gtdb_rel207_bac120
TIGR00456.HMM	gtdb_rel207_bac120
TIGR00459.HMM	gtdb_rel207_bac120
TIGR00460.HMM	gtdb_rel207_bac120
TIGR00468.HMM	gtdb_rel207_bac120
TIGR00472.HMM	gtdb_rel207_bac120
TIGR00487.HMM	gtdb_rel207_bac120
TIGR00496.HMM	gtdb_rel207_bac120
TIGR00539.HMM	gtdb_rel207_bac120
TIGR00580.HMM	gtdb_rel207_bac120
TIGR00593.HMM	gtdb_rel207_bac120
TIGR00615.HMM	gtdb_rel207_bac120
TIGR00631.HMM	gtdb_rel207_bac120
TIGR00634.HMM	gtdb_rel207_bac120
TIGR00635.HMM	gtdb_rel207_bac120
TIGR00643.HMM	gtdb_rel207_bac120
TIGR00663.HMM	gtdb_rel207_bac120
TIGR00717.HMM	gtdb_rel207_bac120
TIGR00755.HMM	gtdb_rel207_bac120
TIGR00810.HMM	gtdb_rel207_bac120
TIGR00922.HMM	gtdb_rel207_bac120
TIGR00928.HMM	gtdb_rel207_bac120
TIGR00959.HMM	gtdb_rel207_bac120
TIGR00963.HMM	gtdb_rel207_bac120
TIGR00964.HMM	gtdb_rel207_bac120
TIGR00967.HMM	gtdb_rel207_bac120
TIGR01009.HMM	gtdb_rel207_bac120
